time,Temp (°C),Humidity (%),Wind (m/s),Precip (mm),PrecipProb (%)
2025-10-05 00:00:00,13.7,85,9.0,0.0,1
2025-10-05 01:00:00,13.6,78,5.5,0.0,1
2025-10-05 02:00:00,13.8,81,6.0,0.0,1
2025-10-05 03:00:00,14.0,86,9.5,0.0,1
2025-10-05 04:00:00,13.8,88,4.0,0.0,1
2025-10-05 05:00:00,13.8,88,6.3,0.0,1
2025-10-05 06:00:00,13.8,89,4.3,0.0,1
2025-10-05 07:00:00,13.3,91,7.6,0.0,1
2025-10-05 08:00:00,14.0,88,9.0,0.0,1
2025-10-05 09:00:00,16.2,79,10.9,0.0,1
2025-10-05 10:00:00,18.8,68,10.9,0.0,1
2025-10-05 11:00:00,20.7,66,13.4,0.0,0
2025-10-05 12:00:00,22.0,61,13.8,0.0,0
2025-10-05 13:00:00,23.1,60,13.8,0.0,0
2025-10-05 14:00:00,23.9,57,14.4,0.0,0
2025-10-05 15:00:00,24.1,53,14.3,0.0,0
2025-10-05 16:00:00,24.1,50,14.1,0.0,0
2025-10-05 17:00:00,23.8,48,12.4,0.0,0
2025-10-05 18:00:00,23.3,45,9.1,0.0,0
2025-10-05 19:00:00,21.3,54,10.2,0.0,0
2025-10-05 20:00:00,20.1,60,10.9,0.0,0
2025-10-05 21:00:00,19.2,66,11.5,0.0,0
2025-10-05 22:00:00,18.4,69,10.6,0.0,0
2025-10-05 23:00:00,17.8,70,10.8,0.0,0
2025-10-06 00:00:00,17.0,72,9.7,0.0,0
2025-10-06 01:00:00,15.9,70,9.4,0.0,0
2025-10-06 02:00:00,15.0,76,10.1,0.0,0
2025-10-06 03:00:00,14.7,75,9.2,0.0,0
2025-10-06 04:00:00,14.2,77,9.3,0.0,0
2025-10-06 05:00:00,13.8,79,9.8,0.0,0
2025-10-06 06:00:00,13.3,76,10.0,0.0,0
2025-10-06 07:00:00,13.0,76,10.7,0.0,0
2025-10-06 08:00:00,13.4,75,10.9,0.0,0
2025-10-06 09:00:00,16.0,63,12.1,0.0,0
2025-10-06 10:00:00,18.4,58,13.3,0.0,0
2025-10-06 11:00:00,20.0,57,13.9,0.0,0
2025-10-06 12:00:00,21.6,53,12.6,0.0,0
2025-10-06 13:00:00,22.8,49,15.1,0.0,0
2025-10-06 14:00:00,23.4,46,16.9,0.0,0
2025-10-06 15:00:00,23.7,44,18.6,0.0,0
2025-10-06 16:00:00,23.1,41,22.2,0.0,0
2025-10-06 17:00:00,22.4,39,19.1,0.0,0
2025-10-06 18:00:00,21.2,40,14.2,0.0,0
2025-10-06 19:00:00,19.9,44,13.4,0.0,0
2025-10-06 20:00:00,18.7,48,13.4,0.0,0
2025-10-06 21:00:00,17.8,51,13.1,0.0,2
2025-10-06 22:00:00,16.8,55,13.3,0.0,2
2025-10-06 23:00:00,16.4,58,13.0,0.0,2
2025-10-07 00:00:00,15.9,59,11.5,0.0,2
2025-10-07 01:00:00,15.4,60,11.2,0.0,2
2025-10-07 02:00:00,15.2,62,12.2,0.0,2
2025-10-07 03:00:00,15.9,70,12.6,0.0,18
2025-10-07 04:00:00,15.6,74,13.0,0.0,18
2025-10-07 05:00:00,15.5,75,14.2,0.0,18
2025-10-07 06:00:00,15.4,75,13.0,0.0,18
2025-10-07 07:00:00,15.0,77,13.4,0.0,18
2025-10-07 08:00:00,16.3,71,12.6,0.0,18
2025-10-07 09:00:00,18.9,60,16.3,0.0,51
2025-10-07 10:00:00,22.2,48,18.4,0.0,51
2025-10-07 11:00:00,24.0,44,20.9,0.1,51
2025-10-07 12:00:00,25.5,43,23.6,0.0,51
2025-10-07 13:00:00,25.3,47,29.0,0.0,51
2025-10-07 14:00:00,21.8,66,25.0,0.3,51
2025-10-07 15:00:00,20.2,77,19.9,0.5,87
2025-10-07 16:00:00,18.2,91,17.7,2.1,87
2025-10-07 17:00:00,18.2,93,14.3,0.7,87
2025-10-07 18:00:00,17.7,95,17.1,1.6,87
2025-10-07 19:00:00,18.0,93,13.9,0.7,87
2025-10-07 20:00:00,17.5,95,14.6,0.3,87
2025-10-07 21:00:00,15.6,85,19.1,0.2,73
2025-10-07 22:00:00,14.2,89,19.2,0.2,73
2025-10-07 23:00:00,13.6,93,12.7,1.1,73
2025-10-08 00:00:00,13.4,95,12.0,2.3,73
2025-10-08 01:00:00,13.5,93,5.7,0.5,73
2025-10-08 02:00:00,13.3,92,9.2,0.5,73
2025-10-08 03:00:00,13.1,90,7.6,0.1,34
2025-10-08 04:00:00,12.7,90,1.8,0.0,34
